resultId,raceId,driverId,constructorId,number,positionOrder,points,rank
779,54,2,2,16,15,0,7
780,54,26,5,21,16,0,14
781,54,34,8,23,17,0,21
782,54,32,9,15,18,0,13
783,54,17,3,9,19,0,12
784,54,14,9,14,20,0,17
785,54,3,3,10,21,0,15
786,54,8,1,3,22,0,\N
787,55,4,4,1,1,10,2
788,55,8,1,3,2,8,1
789,55,23,7,7,3,6,10
790,55,2,2,16,4,5,7
791,55,21,4,2,5,4,5
792,55,35,2,17,6,3,13
793,55,22,11,11,7,2,6
794,55,14,9,14,8,1,12
795,55,26,5,21,9,0,14
796,55,18,11,12,10,0,8
797,55,27,13,19,11,0,15
798,55,11,8,22,12,0,17
799,55,34,8,23,13,0,18
800,55,31,1,4,14,0,4
801,55,33,13,18,15,0,16
802,55,24,5,20,16,0,11
803,55,30,6,5,17,0,3
804,55,17,3,9,18,0,9
805,55,32,9,15,19,0,19
806,55,15,7,8,20,0,\N
807,55,3,3,10,21,0,\N
808,55,13,6,6,22,0,\N
809,56,30,6,5,1,10,2
810,56,4,4,1,2,8,1
811,56,31,1,4,3,6,4
812,56,13,6,6,4,5,10
813,56,8,1,3,5,4,3
814,56,17,3,9,6,3,9
815,56,18,11,12,7,2,6
816,56,21,4,2,8,1,7
817,56,23,7,7,9,0,5
818,56,22,11,11,10,0,13
819,56,3,3,10,11,0,15
820,56,35,2,17,12,0,8
821,56,2,2,16,13,0,12
822,56,24,5,20,14,0,11
823,56,26,5,21,15,0,14
824,56,33,13,18,16,0,18
825,56,14,9,14,17,0,17
826,56,11,8,22,18,0,20
827,56,32,9,15,19,0,16
828,56,34,8,23,20,0,21
829,56,15,7,8,21,0,19
830,56,27,13,19,22,0,\N
831,57,30,6,5,1,10,1
832,57,4,4,1,2,8,3
833,57,13,6,6,3,6,5
834,57,8,1,3,4,5,2
835,57,22,11,11,5,4,9
836,57,21,4,2,6,3,4
837,57,3,3,10,7,2,7
838,57,35,2,17,8,1,12
839,57,15,7,8,9,0,10
840,57,2,2,16,10,0,11
841,57,26,5,21,11,0,14
842,57,33,13,18,12,0,18
843,57,27,13,19,13,0,17
844,57,23,7,7,14,0,8
845,57,31,1,4,15,0,6
846,57,11,8,22,16,0,19
847,57,36,8,23,17,0,20
848,57,18,11,12,18,0,13
849,57,32,9,15,19,0,15
850,57,17,3,9,20,0,16
851,57,14,9,14,21,0,21
852,57,24,5,20,22,0,\N
853,58,4,4,1,1,10,2
854,58,30,6,5,2,8,3
855,58,21,4,2,3,6,4
856,58,13,6,6,4,5,1
857,58,8,1,3,5,4,5
858,58,18,11,12,6,3,6
859,58,22,11,11,7,2,7
860,58,2,2,16,8,1,10
861,58,17,3,9,9,0,11
862,58,15,7,8,10,0,13
863,58,3,3,10,11,0,8
864,58,35,2,17,12,0,12
865,58,32,9,15,13,0,15
866,58,14,9,14,14,0,9
867,58,24,5,20,15,0,14
868,58,33,13,18,16,0,18
869,58,11,8,22,17,0,21
870,58,27,13,19,18,0,20
871,58,26,5,21,19,0,16
872,58,23,7,7,20,0,17
873,58,31,1,4,21,0,19
874,58,36,8,23,22,0,22
875,59,4,4,1,1,10,3
876,59,31,1,4,2,8,6
877,59,14,9,14,3,6,19
878,59,22,11,11,4,5,12
879,59,30,6,5,5,4,1
880,59,21,4,2,6,3,5
881,59,2,2,16,7,2,11
882,59,23,7,7,8,1,15
883,59,13,6,6,9,0,7
884,59,24,5,20,10,0,17
885,59,18,11,12,11,0,10
886,59,27,13,19,12,0,16
887,59,26,5,21,13,0,14
888,59,35,2,17,14,0,18
889,59,33,13,18,15,0,13
890,59,36,8,23,16,0,22
891,59,15,7,8,17,0,8
892,59,32,9,15,18,0,20
893,59,3,3,10,19,0,9
894,59,8,1,3,20,0,2
895,59,17,3,9,21,0,4
896,59,11,8,22,22,0,21
897,60,4,4,1,1,10,1
898,60,30,6,5,2,8,2
899,60,8,1,3,3,6,5
900,60,21,4,2,4,5,3
901,60,13,6,6,5,4,4
902,60,31,1,4,6,3,8
903,60,2,2,16,7,2,6
904,60,35,2,17,8,1,10
905,60,3,3,10,9,0,9
906,60,22,11,11,10,0,11
907,60,15,7,8,11,0,7
908,60,14,9,14,12,0,14
909,60,24,5,20,13,0,15
910,60,32,9,15,14,0,12
911,60,27,13,19,15,0,13
912,60,33,13,18,16,0,16
913,60,11,8,22,17,0,18
914,60,36,8,23,18,0,19
915,60,18,11,12,19,0,17
916,60,26,5,21,20,0,\N
917,60,23,7,7,21,0,\N
918,60,17,3,9,22,0,\N
919,61,4,4,1,1,10,2
920,61,30,6,5,2,8,3
921,61,8,1,3,3,6,1
922,61,21,4,2,4,5,4
923,61,13,6,6,5,4,5
924,61,15,7,8,6,3,8
925,61,2,2,16,7,2,7
926,61,14,9,14,8,1,10
927,61,18,11,12,9,0,13
928,61,26,5,21,10,0,12
929,61,32,9,15,11,0,9
930,61,17,3,9,12,0,11
931,61,24,5,20,13,0,14
932,61,33,13,18,14,0,18
933,61,11,8,22,15,0,19
934,61,35,2,17,16,0,6
935,61,23,7,7,17,0,16
936,61,31,1,4,18,0,15
937,61,22,11,11,19,0,17
938,61,36,8,23,20,0,20
939,61,3,3,10,21,0,\N
940,61,27,13,19,22,0,\N
941,62,30,6,5,1,10,1
942,62,13,6,6,2,8,2
943,62,21,4,2,3,6,3
944,62,15,7,8,4,5,5
945,62,4,4,1,5,4,6
946,62,22,11,11,6,3,7
947,62,14,9,14,7,2,11
948,62,24,5,20,8,1,9
949,62,3,3,10,9,0,10
950,62,23,7,7,10,0,4
951,62,27,13,19,11,0,12
952,62,35,2,17,12,0,8
953,62,33,13,18,13,0,13
954,62,11,8,22,14,0,14
955,62,18,11,12,15,0,15
956,62,8,1,3,16,0,\N
957,62,2,2,16,17,0,\N
958,62,31,1,4,18,0,\N
959,62,17,3,9,19,0,\N
960,62,26,5,21,20,0,\N
961,62,32,9,15,21,0,\N
962,62,36,8,23,22,0,\N
963,63,30,6,5,1,10,1
964,63,4,4,1,2,8,5
965,63,13,6,6,3,6,2
966,63,23,7,7,4,5,6
967,63,8,1,3,5,4,4
968,63,21,4,2,6,3,9
969,63,37,1,4,7,2,3
970,63,2,2,16,8,1,14
971,63,14,9,14,9,0,17
972,63,26,5,21,10,0,12
973,63,35,2,17,11,0,7
974,63,32,9,15,12,0,16
975,63,24,5,20,13,0,10
976,63,3,3,10,14,0,13
977,63,27,13,19,15,0,18
978,63,36,8,23,16,0,20
979,63,18,11,12,17,0,11
980,63,17,3,9,18,0,15
981,63,15,7,8,19,0,8
982,63,22,11,11,20,0,19
983,63,33,13,18,21,0,21
984,63,11,8,22,22,0,\N
985,64,30,6,5,1,10,1
986,64,13,6,6,2,8,2
987,64,8,1,3,3,6,3
988,64,18,11,12,4,5,7
989,64,4,4,1,5,4,9
990,64,21,4,2,6,3,8
991,64,15,7,8,7,2,5
992,64,32,9,15,8,1,12
993,64,23,7,7,9,0,4
994,64,24,5,20,10,0,10
995,64,14,9,14,11,0,13
996,64,26,5,21,12,0,11
997,64,17,3,9,13,0,6
998,64,11,8,22,14,0,19
999,64,35,2,17,15,0,17
1000,64,22,11,11,16,0,14
1001,64,2,2,16,17,0,18
1002,64,37,1,4,18,0,20
1003,64,29,8,23,19,0,\N
1004,64,3,3,10,20,0,\N
1005,64,27,13,19,21,0,15
1006,64,33,13,18,22,0,16
1007,65,18,11,12,1,10,4
1008,65,37,1,4,2,8,2
1009,65,2,2,16,3,6,7
1010,65,22,11,11,4,5,3
1011,65,14,9,14,5,4,10
1012,65,23,7,7,6,3,5
1013,65,13,6,6,7,2,1
1014,65,30,6,5,8,1,11
1015,65,33,13,18,9,0,13
1016,65,27,13,19,10,0,8
1017,65,26,5,21,11,0,9
1018,65,15,7,8,12,0,6
1019,65,11,8,22,13,0,15
1020,65,4,4,1,14,0,14
1021,65,8,1,3,15,0,16
1022,65,24,5,20,16,0,19
1023,65,3,3,10,17,0,20
1024,65,21,4,2,18,0,17
1025,65,32,9,15,19,0,18
1026,65,17,3,9,20,0,\N
1027,65,29,8,23,21,0,\N
1028,65,9,2,17,22,0,12
1029,66,13,6,6,1,10,2
1030,66,4,4,1,2,8,3
1031,66,30,6,5,3,6,1
1032,66,18,11,12,4,5,4
1033,66,37,1,4,5,4,7
1034,66,21,4,2,6,3,5
1035,66,23,7,7,7,2,8
1036,66,22,11,11,8,1,6
1037,66,15,7,8,9,0,13
1038,66,17,3,9,10,0,15
1039,66,32,9,15,11,0,11
1040,66,9,2,17,12,0,9
1041,66,26,5,21,13,0,10
1042,66,2,2,16,14,0,16
1043,66,14,9,14,15,0,12
1044,66,27,13,19,16,0,17
1045,66,11,8,22,17,0,18
1046,66,3,3,10,18,0,14
1047,66,29,8,23,19,0,20
1048,66,24,5,20,20,0,19
1049,66,8,1,3,21,0,\N
1050,66,33,13,18,22,0,\N
1051,67,30,6,5,1,10,2
1052,67,8,1,3,2,8,1
1053,67,9,2,17,3,6,4
1054,67,21,4,2,4,5,8
1055,67,18,11,12,5,4,7
1056,67,22,11,11,6,3,10
1057,67,15,7,8,7,2,11
1058,67,2,2,16,8,1,6
1059,67,13,6,6,9,0,3
1060,67,17,3,9,10,0,12
1061,67,32,9,15,11,0,13
1062,67,14,9,14,12,0,17
1063,67,26,5,21,13,0,18
1064,67,24,5,20,14,0,14
1065,67,23,7,7,15,0,16
1066,67,11,8,22,16,0,21
1067,67,27,14,19,17,0,20
1068,67,33,14,18,18,0,15
1069,67,4,4,1,19,0,5
1070,67,37,1,4,20,0,9
1071,67,29,8,23,21,0,22
1072,67,3,3,10,22,0,19
1073,68,30,6,5,1,10,2
1074,68,4,4,1,2,8,1
1075,68,21,4,2,3,6,6
1076,68,18,11,12,4,5,5
1077,68,37,1,4,5,4,3
1078,68,22,11,11,6,3,9
1079,68,2,2,16,7,2,4
1080,68,17,3,9,8,1,12
1081,68,14,9,14,9,0,15
1082,68,24,5,20,10,0,18
1083,68,3,3,10,11,0,14
1084,68,38,9,15,12,0,10
1085,68,9,2,17,13,0,13
1086,68,26,5,21,14,0,8
1087,68,27,14,19,15,0,17
1088,68,29,8,23,16,0,19
1089,68,23,7,7,17,0,11
1090,68,13,6,6,18,0,7
1091,68,15,7,8,19,0,21
1092,68,33,14,18,20,0,22
1093,68,8,1,3,21,0,20
1094,68,11,8,22,22,0,16
1095,69,4,4,1,1,10,1
1096,69,13,6,6,2,8,3
1097,69,21,4,2,3,6,7
1098,69,18,11,12,4,5,5
1099,69,8,1,3,5,4,4
1100,69,15,7,8,6,3,9
1101,69,23,7,7,7,2,8
1102,69,2,2,16,8,1,13
1103,69,9,2,17,9,0,6
1104,69,3,3,10,10,0,15
1105,69,37,1,4,11,0,11
1106,69,22,11,11,12,0,10
1107,69,38,9,15,13,0,19
1108,69,24,5,20,14,0,12
1109,69,11,8,22,15,0,17
1110,69,33,14,18,16,0,20
1111,69,29,8,23,17,0,21
1112,69,26,5,21,18,0,14
