_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6749,828085,200,King St E,200 King St E,M5A 3W8,former Toronto,Toronto,Toronto Centre (13),,102007,1145266,200,,,,3779,,,-79.37018888,43.65110905,34,Bike Corral,George St,14,10,2014,NO,,80,"{""type"": ""Point"", ""coordinates"": [-79.3701856618948, 43.651100464233]}"
6750,772775,315,Bloor St W,315 Bloor St W,M5S 1A3,former Toronto,Toronto,University-Rosedale (11),,102007,1142564,315,,,,458,,,-79.39856569,43.66745553,53,Bike Rack,Bloor St W,8,2.9,2016,N/A,,81,"{""type"": ""Point"", ""coordinates"": [-79.3985624500635, 43.6674469424306]}"
6751,7466874,516,Glenlake Ave,516 Glenlake Ave,,former Toronto,Toronto,Parkdale-High Park (4),Glenlake Square,106001,7466844,516,,,,3546,,,-79.47410482,43.65612124,81,Bike Rack,Glendonwynne Rd,8,2.9,2017,N/A,,82,"{""type"": ""Point"", ""coordinates"": [-79.4741048220362, 43.6561212464489]}"
6752,8416838,693,Bloor St W,693 Bloor St W,M6G 1L5,former Toronto,Toronto,University-Rosedale (11),,115001,8416823,693,,,,458,,,-79.41735445,43.66354956,96,Bike Rack,Clinton St,8,2.9,2016,N/A,,83,"{""type"": ""Point"", ""coordinates"": [-79.4173511984097, 43.6635409715405]}"
6753,828221,150,King St W,150 King St W,M5H 1J9,former Toronto,Toronto,Spadina-Fort York (10),,104008,1145855,150,,,,3780,,,-79.3842355,43.64822286,23,Bike Rack,University Ave,8,2.9,2017,N/A,,84,"{""type"": ""Point"", ""coordinates"": [-79.3842322745632, 43.6482142784795]}"
6754,30019115,35D,Bathurst St,35D Bathurst St,M5V 2P2,former Toronto,Toronto,Spadina-Fort York (10),,112001,8457361,35,D,,,436,,,-79.40172821,43.64223429,58,Bike Rack,Bathurst St,8,2.9,2016,N/A,,85,"{""type"": ""Point"", ""coordinates"": [-79.4017249691284, 43.642225715835]}"
6755,367443,71,New Forest Sq,71 New Forest Sq,M1V 2Z6,Scarborough,Toronto,Scarborough-Agincourt (22),,100001,20050441,71,,,,9497,,,-79.30745062,43.82304172,98,Bike Rack,Steeles Ave E,8,2.9,2016,N/A,,86,"{""type"": ""Point"", ""coordinates"": [-79.3074473906934, 43.8230331061332]}"
6756,14199241,11,Charlotte St,11 Charlotte St,M5V 0M6,former Toronto,Toronto,Spadina-Fort York (10),,115001,14025593,11,,,,3147,,,-79.39366988,43.64637784,10,Bike Rack,Charlotte St,8,2.9,2017,N/A,,87,"{""type"": ""Point"", ""coordinates"": [-79.3936698784778, 43.6463778424247]}"
6757,11272519,1560,Yonge St,1560 Yonge St,M4T 2S9,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,14242419,1560,,,,4733,,,-79.39513015,43.68968694,24,Bike Rack,Delisle Ave,8,2.9,2016,N/A,,88,"{""type"": ""Point"", ""coordinates"": [-79.3951269012401, 43.6896783530003]}"
6758,772899,612,Bloor St W,612 Bloor St W,M6G 1K7,former Toronto,Toronto,University-Rosedale (11),,107010,1143160,612,,,,458,,,-79.41384207,43.66474275,88,Bike Rack,,8,2.9,0,N/A,,89,"{""type"": ""Point"", ""coordinates"": [-79.4138388158142, 43.6647341700049]}"
